text,emotion
"Yeah for coupons!   Found this place randomly and really like it, a lot of different chocolate flavours to keep chocoholics coming back for more. They let you taste test to see what you might like so you don't have to worry about picking something you might not like.",neutral
i still love to feel a gentle breeze and hear the peal of the soft wind chimes that hang outside my back door,happiness
"Normal, fama devido ao programa de tv. A sobremesa foi o melhor. Pratos individuais mas bem servidos",neutral
im feeling a little less jaded,sadness
i have never shaken the feeling of ferocious protectiveness i had when i first became a mother,hate
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness
i feel uncertain i will raise my,worry
i was feeling relaxed and quite comfortable at a faster pace then i was planning on running at,fun
i feel like ive lost everything and everyone,sadness
i feel this way is probably because i am dumb and i try my hardest to cover it up by reading lots and lots of books or you know becoming a doctor,sadness
i see myself starting to feel the emotional dependence on my parents i stop and breathe,sadness
i get to feel special at student events arend and i have been seriously spoiled at student events so far,fun
i am dying for matt to feel his sweet daughter,happiness
i feel pathetic at times because,sadness
i feel like real nut job because i m so freaked out over germs and not putting anything dangerous into my body,hate
i should stop talking about this now because i keep can start to feel that longing and regret,happiness
i want to say that i feel vulnerable writing and sharing this info,worry
i am feeling passionate and alive in the present,happiness
i feel so sympathetic towards plants xd a href http,happiness
i was feeling so fucked up and it was a pretty warm night,hate
i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description,sadness
i am feeling super productive as my beautiful flower girl has the perfect dress now,fun
i feel like inserting a romantic quote here just because i m kinda overflowing with this fluffy romantic stuff right now but i don t know how to word it right,happiness
i feel ashamed oh how romantic,sadness
"The omatcha black sesame latte is where it's attttt.. I'm gonna go ahead and say that the flavours just go well together since they're both pretty gritty and have that bittersweet taste. The added sugar helps fuse them together and you can definitely tell the distinction between the two. There was only a $0.50 cent difference when it came to the Medium ($5.50) and Large ($6.00), so I just went for the large.  Staff friendly, service timed pretty well, but the seating area is cramped asf unless you sit at the actual table; not to mention the booth chairs are ridiculously high, so it may be a bit of a challenge for short people getting seated and coming back down - as was the case with me =*c",neutral
"Arrived at 10pm, ordered a $7 personal pan pizza with tomatoes, mushrooms, and broccoli -- it was fresh out of the oven, w/ a slight amount of cheese and slight amount of sauce. (Be sure to ask to personalize it, if need more of either); plus a merlot, $4.50. Waiter was either on speed or had not had his downers yet ;)  My buddy had arrived earlier to get songs out of her head...and into the ether. So I joined her for a few, my first karaoke experience :) The sound system was pretty crappy and the song selection was very country, somewhat 90's rock, and a few from several genres otherwise.  Crowd was a small group of friends (10), a small group of college students (4), and pairs of drinkers at the bar (3 pairs, come and go). Dimly lit, comfy booths, ordinary tables/chairs, pool table for $ (did not try), and clean bathrooms.  Reminds me of places I've visited in small highway towns when driving cross country road trip'n.",neutral
i feel safety during the change is also important and users must be educated well during the process,fun
i know its for the best and for our good but i just cant help but feel irritated,hate
i think im just feeling sentimental right now p aaaaand tis another work day tomorrow,sadness
i feel completely threatened because i always have that lingering fear that a dude is going to go all glenn close on me again,worry
i feel the cold stony surface underneath me,hate
"This place was by far the prettiest place I'd seen while visiting vegas. It looks like a damn paradise. The weather was perfect and the nightclub has its own pool. But they do not offer any sprt of seating unless u pay for it. Not at all, literally. So being from Oregon, we rhough that was a bit stupid. But the place is very very beautiful!.",neutral
i feel evenly energetic all day,fun
i was feeling so overwhelmed that i asked my bqff to keep of them at her house until theyre ready to be loaded so i dont feel so behind,surprise
i feel like everyone should start to become slightly fearful,worry
"You can't beat the atmosphere in this old cathedral. The food is decent and attitude of the staff can be hit or miss, but it's generally pretty good. But the building is the focal point. If it were anywhere else they would need to take the service and food up a couple notches.  We came in an hour before closing  (which is 11 pm) and the host was not happy to see us, but our waiter was cool and made up for it.",neutral
i don t know why but i feel so horny when i m in front of my web cam,happiness
i feel pretty convinced my time is worth more than i would be compensated but the fact that i can work at home or in coffee shops with wifi or the like is pretty wonderful,fun
i used to feel really sympathetic to shizumasa but with each chapter i just seem to start disliking him more and more,happiness
"Great atmosphere and drinks. Food was ok, but nothing really that special.  Service was fantastic and very friendly.  All in all a good place to hangout and get drinks.  Just don't expect too much with the food.",neutral
i know i love math and it feels so weird not teaching it but i think the change will be good and it will be a good challenge for me,worry
im feeling pretty generous so im going to share with you a little magic secret,happiness
i already feel jealous of these new children and apprehensive that i will no longer be the favorite,hate
i feel so terrified with the scenes as it doesnt show a replicated ghost the ghost wasnt there yet paranormal things were going around,worry
i feel that once i get these colts gentle in the round pen and loping circles in the arena and fit one three or four hour a href http americashorsedaily,happiness
"Run-of-the-mill Chipotle. This location is nothing special. Very small. The only comment I really have is that I felt like I was being rushed out. I was one of like, 4 customers in the restaurant when I was ordering. But I felt like I was being pushed along as if there was a crowed behind me. I order fast since I get the same thing every time, so the fact that they were going too fast for me speaks volumes..",neutral
i should feel rebellious but i only feel like a stoner things have been alright though,hate
i feel like i m being insulted,hate
i feel that you are precious and i fall into despair,fun
i would hold her hand and re assure her enable a sense of safety and security when she mistakenly misperceived danger in situations which could cause her to feel fearful fear of abandonment fear of being alone fear of the unknown fear of getting it wrong due to a natural child like immaturity,worry
i know what i would feel the pain then become furious and then feel confused hurt and even more furious,hate
i guess since im feeling a bit less shitty have a random picture,sadness
i am so weary from the feelings of longing,happiness
i fully expected to feel nervous panic impatience scared etc,worry
i was starting to feel a lot of love from my friends and thought that to be a little suspicious since some of them hardly ever come here and all of a sudden i m like their favorite person in the world,worry
i feel extremely irritated by the self pitying subtext of her quote that this is taking a psychological toll on her and her colleagues,hate
Came in to watch the Steelers game (they were away this weekend). The hostess was very pleasant. We ordered the gravy fries with cheese curds as an appetizer. It was great. I sampled a couple IPAs while my girl friend had a berry flavored beer from a local microbrewery. She ordered French toast for brunch while I went with the house burger with garlic Parmesan fries. She said the French toast was very good.  My burger was cooked right and was good. The fries were a let down as they seem to use powdered cheese. Our waitress seemed like she had better things to do because about 20 seconds after we sat down she asked what we wanted to order. I hadn't even had time to open the beer list (they have 39 taps). We asked for more time and she seemed annoyed by it. I would go back for the food and he beer but if was sat in her section again I would just go sit at the bar instead.,neutral
i have made to washington dc in the last years to advocate for the cnmi foreign workers i feel that this one is the most productive,fun
i feel uptight on a saturday night,worry
i flipped out at guys i feel terrible today i flipped out at guys i feel terrible a href http www,sadness
i want to say how i feel but i ve been feeling that i ve offended people because of my emotional state lately,hate
i feel so selfish but i know it has to be done,hate
i live in a world where i feel tortured i face another day with a smile,worry
i feel that people are experience rich and theory poor asserts gladwell,fun
"Been here a handful of times, its hit or miss. The place is VERY pretencious and hipster-ish but on a normal day you can get a good bowl of pho. It is over priced compared to other more authentic places but the quality of  sliced beef in the pho is better then most places. They do pride them self on the variety of spring rolls they offer, which I found to be nothing special but not bad. So all in all its OKAY, plain and simple.",neutral
"This review does not apply to sushi. The Chinese food here are typical American Chinese, which is ok. I do enjoy the friendliness and clean dining area. Nothing special, but good place to go for lunch. I might try sushi next time.",neutral
i would still feel frightened,worry
i mention that i feel ignored and sad on my crappy birthdays he reminds me that he threw a th birthday party for me,sadness
i feel the pressure to be funny all the time,surprise
"Although I am not a big fan of buffets, Le Village Buffet had in the past was always pretty good.  Unfortunately, this time around it was mediocre, just another Vegas buffet.    One of the things I like in a buffet is the seafood bar.  Unfortunately, the selection this time around was limited and the Alaskan crab just didn't seem that fresh or tasty.  Moreover, the carving station was not all that great, the prime rib was average.  Upside, big desert bar and plenty of selections.",neutral
i feel her inner muscles clench and hug my cock for more making our intimacy not just fucking but intensely passionate love making,happiness
im also feeling super stressed but arent we all except for my husband whos a freak of nature,fun
"My fiance and I were excited to see a dumpling restaurant open in the area! I'm in love with soup dumplings. And China Mama down the street does a pretty good job of it. It's no 626, but its still good.  They have their own parking lot. Plus!   But first impression is.. the place smells. It's a very pungent bathroom odor. I wouldn't mind if it smelled like cleaning supplies.. but a smelly bathroom/sewage scent is NOT the way to go when you're eating! But it's an asian restaurant. Things like this slip through the cracks all the time. We stayed. We eventually got used to it.  The menu has a lot of items! Most of the English descriptions are pretty vague. So the pictures help a lot. We got lost in all of the choices and took awhile to order.  When we did, we ordered the pan fried beef patties, the soup dumplings, and hot and sour soup.   The patties were good. Crispy, flavorful, and tasted great with a little bit of vinegar and hot sauce.  The hot and sour soup was not as savory as other places I've had, but it was tasty as well. Full of flavor, jusy enough sour.   The soup dumplings normally take longer and were the last to arrive at the table. Tip: normally if you know you're ordering this dish, you should put in the order first. The dumplings were good. As a personal preference, I like my dumplings more sweet than salty, but here they make it salty. Also, there is actually not that much soup in each one.   The menu had other delicious sounding items so we'll probably be back to try other items. But they need to fix that smell!!  Overall.. 626 dumplings beats NY dumplings beats China Mama beats Dumpling King",neutral
"Bottom line, my jeep is clean. All the caked on mud and glory from this weekend's fishing trip washed away. But at what cost? $15 to be exact, and fear. Yes my car is clean, but how could anything not be clean after going through this place?! It's the most aggressive car wash I've ever experienced. No noticeable damage caused to my paint so I guess it's okay. However, DO NOT go in here with a traditional, non-retractable antennae or you will not once, but twice watch in horror as you antennae get's bent nearly horizontal and then disappears into the brush. How it survived it beyond me. All that aside, for the price, I feel like my car is no more clean and polished than those $7 laser washes which also do under carriage cleaning. That's why only three stars. Too much hype going on here. More money for same results? No thanks.",neutral
i feel so much stronger than i was the last and i feel a gentle peace and surrender when i think of my dad,happiness
"It used to be really good here when it first opened, but the prices have gone up. Still come here now and again to meet friends over a pint.... But they should consider having more specials. Tourist trap mainly though, so most likely they won't.",neutral
i would feel so devastated that every channel i click on the the tv was another sport event or maybe the same sport event but in different language,sadness
i think she feels similarly that kind of love hate relationship with him where theres things to be admired about him but also things to be criticized things hes never changed,happiness
I had some great company & cold pints.   All the food looked and smelled yummy. I had ordered  some french fries which were nice and crisp & tasty.. Although I really didn't fancy the gravy.   Our server was attentive and we didn't wait long for drinks or our food.   Saturdays after our derby training we'll be back and I look forward to trying some more food out.,neutral
"I was very excited to see this go in at Chandler Fashion Center. I had heard great things. I went with my mom for lunch after a morning of shopping. We were pleased at the prices, and the meal for my daughter. We got the soup and salad for lunch.  Everything was good, but what kept me at a 3 from a 4 was the salad. It was straight from the bag, basic iceburg lettuce with the shaved carrots and purple cabbage. A huge disappointment.",neutral
i can feel the strokes getting harder and faster as i try in vain to find that release,sadness
i am feeling horny even though gawdddddd yes i am horny but i am craving some snuggles,happiness
i must not really let this spoil my mood but it did give me cause to think a little and feel irritated,hate
i dont know that i have gotten to the point yet where i feel cute,fun
ive been quite depressed lately feeling a little skeptical about myself feeling a little un productive and weak,worry
i don t look at it while i m taking the picture but later i can stare directly at the image all i want and not worry about going blind or any of those other horrific things that can supposedly happen i feel so clever,fun
This is a traditional Taiwanese deli. Some of the food only come with small portion. I had  a baked beef pocket bread and a spicy cucumber for lunch.  It was a quick lunch and the price is good and the service was bad.  It's not recommend for whole family to dine in. But it's ok for a quick meal.,neutral
i feel sorry for those who use the ghd hair straightener it will not damage your own hair,sadness
i feel like a blank canvas i have no clue what i am doing right now,sadness
